OID|Version|Source|Type|Definition|MUType|MeasureTitle|QDM|NQF|CMSId
2.16.840.1.113883.3.464.1003.101.12.1025|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1125:Preventive Care Services - Established Office Visit, 18 and Up)|CY 2014 EP|Cervical Cancer Screening|Encounter|0032|CMS124v3|
2.16.840.1.113883.3.464.1003.101.12.1025|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1125:Preventive Care Services - Established Office Visit, 18 and Up)|CY 2014 EP|Diabetes: Low Density Lipoprotein (LDL) Management|Encounter|0064|CMS163v3|
2.16.840.1.113883.3.464.1003.101.12.1025|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1125:Preventive Care Services - Established Office Visit, 18 and Up)|CY 2014 EP|Diabetes: Urine Protein Screening|Encounter|0062|CMS134v3|
2.16.840.1.113883.3.464.1003.101.12.1025|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1125:Preventive Care Services - Established Office Visit, 18 and Up)|CY 2014 EP|Preventive Care and Screening: Influenza Immunization|Encounter|0041|CMS147v4|
2.16.840.1.113883.3.464.1003.101.12.1025|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1125:Preventive Care Services - Established Office Visit, 18 and Up)|CY 2014 EP|Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention|Encounter|0028|CMS138v3|
2.16.840.1.113883.3.464.1003.101.12.1025|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1125:Preventive Care Services - Established Office Visit, 18 and Up)|CY 2014 EP|Falls: Screening for Future Fall Risk|Encounter|0101|CMS139v3|
2.16.840.1.113883.3.464.1003.101.12.1025|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1125:Preventive Care Services - Established Office Visit, 18 and Up)|CY 2014 EP|Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic|Encounter|0068|CMS164v3|
2.16.840.1.113883.3.464.1003.101.12.1025|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1125:Preventive Care Services - Established Office Visit, 18 and Up)|CY 2014 EP|Primary Caries Prevention Intervention as Offered by Primary Care Providers, including Dentists|Encounter|Not Applicable|CMS74v4|
2.16.840.1.113883.3.464.1003.101.12.1025|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1125:Preventive Care Services - Established Office Visit, 18 and Up)|CY 2014 EP|Children Who Have Dental Decay or Cavities|Encounter|Not Applicable|CMS75v3|
2.16.840.1.113883.3.464.1003.101.12.1025|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1125:Preventive Care Services - Established Office Visit, 18 and Up)|CY 2014 EP|Use of Appropriate Medications for Asthma|Encounter|0036|CMS126v3|
2.16.840.1.113883.3.464.1003.101.12.1025|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1125:Preventive Care Services - Established Office Visit, 18 and Up)|CY 2014 EP|Colorectal Cancer Screening|Encounter|0034|CMS130v3|
2.16.840.1.113883.3.464.1003.101.12.1025|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1125:Preventive Care Services - Established Office Visit, 18 and Up)|CY 2014 EP|Diabetes: Eye Exam|Encounter|0055|CMS131v3|
2.16.840.1.113883.3.464.1003.101.12.1026|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1130:Preventive Care Services-Individual Counseling)|CY 2014 EP|Weight Assessment and Counseling for Nutrition and Physical Activity for Children and Adolescents|Encounter|0024|CMS155v3|
2.16.840.1.113883.3.464.1003.101.12.1026|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1130:Preventive Care Services-Individual Counseling)|CY 2014 EP|Preventive Care and Screening: Influenza Immunization|Encounter|0041|CMS147v4|
2.16.840.1.113883.3.464.1003.101.12.1026|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1130:Preventive Care Services-Individual Counseling)|CY 2014 EP|ADHD: Follow-Up Care for Children Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication|Encounter|0108|CMS136v4|
2.16.840.1.113883.3.464.1003.101.12.1026|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1130:Preventive Care Services-Individual Counseling)|CY 2014 EP|Falls: Screening for Future Fall Risk|Encounter|0101|CMS139v3|
2.16.840.1.113883.3.464.1003.101.12.1026|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1130:Preventive Care Services-Individual Counseling)|CY 2014 EP|Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention|Encounter|0028|CMS138v3|
2.16.840.1.113883.3.464.1003.101.12.1027|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1135:Preventive Care Services - Group Counseling)|CY 2014 EP|Weight Assessment and Counseling for Nutrition and Physical Activity for Children and Adolescents|Encounter|0024|CMS155v3|
2.16.840.1.113883.3.464.1003.101.12.1027|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1135:Preventive Care Services - Group Counseling)|CY 2014 EP|ADHD: Follow-Up Care for Children Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication|Encounter|0108|CMS136v4|
2.16.840.1.113883.3.464.1003.101.12.1027|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1135:Preventive Care Services - Group Counseling)|CY 2014 EP|Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention|Encounter|0028|CMS138v3|
2.16.840.1.113883.3.464.1003.101.12.1027|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1135:Preventive Care Services - Group Counseling)|CY 2014 EP|Preventive Care and Screening: Influenza Immunization|Encounter|0041|CMS147v4|
2.16.840.1.113883.3.464.1003.101.12.1030|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1150:Preventive Care Services - Other)|CY 2014 EP|Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention|Encounter|0028|CMS138v3|
2.16.840.1.113883.3.464.1003.101.12.1030|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1150:Preventive Care Services - Other)|CY 2014 EP|Preventive Care and Screening: Influenza Immunization|Encounter|0041|CMS147v4|
2.16.840.1.113883.3.464.1003.101.12.1031|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1155:Telehealth Services)|CY 2014 EP|ADHD: Follow-Up Care for Children Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication|Encounter|0108|CMS136v4|
2.16.840.1.113883.3.464.1003.101.12.1039|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1195:Discharge Services- Observation Care)|CY 2014 EP|ADHD: Follow-Up Care for Children Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication|Encounter|0108|CMS136v4|
2.16.840.1.113883.3.464.1003.101.12.1046|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1215:Referral)|CY 2014 EP|Closing the Referral Loop: Receipt of Specialist Report|Intervention|Not Applicable|CMS50v3|
2.16.840.1.113883.3.464.1003.101.12.1047|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1110:Preventive Care - Initial Office Visit, 0 to 17),(2.16.840.1.113883.3.464.1003.101.11.1125:Preventive Care Services - Established Office Visit, 18 and Up),(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction),(2.16.840.1.113883.3.464.1003.101.11.1040:Outpatient Consultation),(2.16.840.1.113883.3.464.1003.101.11.1120:Preventive Care - Established Office Visit, 0 to 17),(2.16.840.1.113883.3.464.1003.101.11.1115:Preventive Care Services-Initial Office Visit, 18 and Up),(2.16.840.1.113883.3.464.1003.101.11.1005:Office Visit)|CY 2014 EP|HIV/AIDS: Pneumocystis Jiroveci Pneumonia (PCP) Prophylaxis|Encounter|0405|CMS52v3|
2.16.840.1.113883.3.464.1003.101.12.1047|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1110:Preventive Care - Initial Office Visit, 0 to 17),(2.16.840.1.113883.3.464.1003.101.11.1125:Preventive Care Services - Established Office Visit, 18 and Up),(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction),(2.16.840.1.113883.3.464.1003.101.11.1040:Outpatient Consultation),(2.16.840.1.113883.3.464.1003.101.11.1120:Preventive Care - Established Office Visit, 0 to 17),(2.16.840.1.113883.3.464.1003.101.11.1115:Preventive Care Services-Initial Office Visit, 18 and Up),(2.16.840.1.113883.3.464.1003.101.11.1005:Office Visit)|CY 2014 EP|HIV/AIDS: Medical Visit|Encounter|Not Applicable|CMS62v3|
2.16.840.1.113883.3.464.1003.101.12.1047|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1110:Preventive Care - Initial Office Visit, 0 to 17),(2.16.840.1.113883.3.464.1003.101.11.1125:Preventive Care Services - Established Office Visit, 18 and Up),(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction),(2.16.840.1.113883.3.464.1003.101.11.1040:Outpatient Consultation),(2.16.840.1.113883.3.464.1003.101.11.1120:Preventive Care - Established Office Visit, 0 to 17),(2.16.840.1.113883.3.464.1003.101.11.1115:Preventive Care Services-Initial Office Visit, 18 and Up),(2.16.840.1.113883.3.464.1003.101.11.1005:Office Visit)|CY 2014 EP|HIV/AIDS: RNA Control for Patients with HIV|Encounter|Not Applicable|CMS77v3|
2.16.840.1.113883.3.464.1003.101.12.1048|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction)|CY 2014 EP|Weight Assessment and Counseling for Nutrition and Physical Activity for Children and Adolescents|Encounter|0024|CMS155v3|
2.16.840.1.113883.3.464.1003.101.12.1048|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction)|CY 2014 EP|Adult Major Depressive Disorder (MDD): Suicide Risk Assessment|Encounter|0104|CMS161v3|
2.16.840.1.113883.3.464.1003.101.12.1048|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction)|CY 2014 EP|Diabetes: Low Density Lipoprotein (LDL) Management|Encounter|0064|CMS163v3|
2.16.840.1.113883.3.464.1003.101.12.1048|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction)|CY 2014 EP|Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic|Encounter|0068|CMS164v3|
2.16.840.1.113883.3.464.1003.101.12.1048|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction)|CY 2014 EP|Use of Imaging Studies for Low Back Pain|Encounter|0052|CMS166v4|
2.16.840.1.113883.3.464.1003.101.12.1048|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction)|CY 2014 EP|ADE Prevention and Monitoring: Warfarin Time in Therapeutic Range|Encounter|NA|CMS179v3|
2.16.840.1.113883.3.464.1003.101.12.1048|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction)|CY 2014 EP|Functional Status Assessment for Knee Replacement|Encounter|Not Applicable|CMS66v3|
2.16.840.1.113883.3.464.1003.101.12.1048|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction)|CY 2014 EP|Children Who Have Dental Decay or Cavities|Encounter|Not Applicable|CMS75v3|
2.16.840.1.113883.3.464.1003.101.12.1048|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction)|CY 2014 EP|Closing the Referral Loop: Receipt of Specialist Report|Encounter|Not Applicable|CMS50v3|
2.16.840.1.113883.3.464.1003.101.12.1048|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction)|CY 2014 EP|Diabetes: Hemoglobin A1c Poor Control|Encounter|0059|CMS122v3|
2.16.840.1.113883.3.464.1003.101.12.1048|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction)|CY 2014 EP|Diabetes: Foot Exam|Encounter|0056|CMS123v3|
2.16.840.1.113883.3.464.1003.101.12.1048|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction)|CY 2014 EP|Childhood Immunization Status|Encounter|0038|CMS117v3|
2.16.840.1.113883.3.464.1003.101.12.1048|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction)|CY 2014 EP|Use of Appropriate Medications for Asthma|Encounter|0036|CMS126v3|
2.16.840.1.113883.3.464.1003.101.12.1048|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction)|CY 2014 EP|Diabetes: Eye Exam|Encounter|0055|CMS131v3|
2.16.840.1.113883.3.464.1003.101.12.1048|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction)|CY 2014 EP|Colon Cancer: Chemotherapy for AJCC Stage III Colon Cancer Patients|Encounter|0385|CMS141v4|
2.16.840.1.113883.3.464.1003.101.12.1048|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction)|CY 2014 EP|Preventive Care and Screening: Influenza Immunization|Encounter|0041|CMS147v4|
2.16.840.1.113883.3.464.1003.101.12.1048|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction)|CY 2014 EP|Heart Failure (HF): Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD)|Encounter|0083|CMS144v3|
2.16.840.1.113883.3.464.1003.101.12.1048|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction)|CY 2014 EP|Coronary Artery Disease (CAD): Beta-Blocker Therapy—Prior Myocardial Infarction (MI) or Left Ventricular Systolic Dysfunction (LVEF <40%)|Encounter|0070|CMS145v3|
2.16.840.1.113883.3.464.1003.101.12.1048|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction)|CY 2014 EP|Dementia: Cognitive Assessment|Encounter|Not Applicable|CMS149v3|
2.16.840.1.113883.3.464.1003.101.12.1048|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction)|CY 2014 EP|Chlamydia Screening for Women|Encounter|0033|CMS153v3|
2.16.840.1.113883.3.464.1003.101.12.1048|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction)|CY 2014 EP|Child and Adolescent Major Depressive Disorder (MDD): Suicide Risk Assessment|Encounter|1365|CMS177v3|
2.16.840.1.113883.3.464.1003.101.12.1048|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction)|CY 2014 EP|Controlling High Blood Pressure|Encounter|0018|CMS165v3|
2.16.840.1.113883.3.464.1003.101.12.1048|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction)|CY 2014 EP|Ischemic Vascular Disease (IVD): Complete Lipid Panel and LDL Control|Encounter|0075|CMS182v4|
2.16.840.1.113883.3.464.1003.101.12.1048|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction)|CY 2014 EP|Primary Caries Prevention Intervention as Offered by Primary Care Providers, including Dentists|Encounter|Not Applicable|CMS74v4|
2.16.840.1.113883.3.464.1003.101.12.1048|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction)|CY 2014 EP|Functional Status Assessment for Hip Replacement|Encounter|Not Applicable|CMS56v3|
2.16.840.1.113883.3.464.1003.101.12.1048|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction)|CY 2014 EP|Maternal Depression Screening|Encounter|1401|CMS82v2|
2.16.840.1.113883.3.464.1003.101.12.1048|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction)|CY 2014 EP|Anti-depressant Medication Management|Encounter|0105|CMS128v3|
2.16.840.1.113883.3.464.1003.101.12.1048|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction)|CY 2014 EP|Diabetes: Urine Protein Screening|Encounter|0062|CMS134v3|
2.16.840.1.113883.3.464.1003.101.12.1048|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction)|CY 2014 EP|Pneumonia Vaccination Status for Older Adults|Encounter|0043|CMS127v3|
2.16.840.1.113883.3.464.1003.101.12.1048|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction)|CY 2014 EP|Colorectal Cancer Screening|Encounter|0034|CMS130v3|
2.16.840.1.113883.3.464.1003.101.12.1048|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction)|CY 2014 EP|Use of High-Risk Medications in the Elderly|Encounter|0022|CMS156v3|
2.16.840.1.113883.3.464.1003.101.12.1048|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction)|CY 2014 EP|Heart Failure (HF): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy for Left Ventricular Systolic Dysfunction (LVSD)|Encounter|0081|CMS135v3|
2.16.840.1.113883.3.464.1003.101.12.1048|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction)|CY 2014 EP|Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention|Encounter|0028|CMS138v3|
2.16.840.1.113883.3.464.1003.101.12.1048|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction)|CY 2014 EP|Falls: Screening for Future Fall Risk|Encounter|0101|CMS139v3|
2.16.840.1.113883.3.464.1003.101.12.1048|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction)|CY 2014 EP|Appropriate Treatment for Children with Upper Respiratory Infection (URI)|Encounter|0069|CMS154v3|
2.16.840.1.113883.3.464.1003.101.12.1048|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction)|CY 2014 EP|Diabetic Retinopathy: Communication with the Physician Managing Ongoing Diabetes Care|Encounter|0089|CMS142v3|
2.16.840.1.113883.3.464.1003.101.12.1048|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction)|CY 2014 EP|ADHD: Follow-Up Care for Children Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication|Encounter|0108|CMS136v4|
2.16.840.1.113883.3.464.1003.101.12.1048|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction)|CY 2014 EP|Initiation and Engagement of Alcohol and Other Drug Dependence Treatment|Encounter|0004|CMS137v3|
2.16.840.1.113883.3.464.1003.101.12.1048|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction)|CY 2014 EP|Breast Cancer: Hormonal Therapy for Stage IC-IIIC Estrogen Receptor/Progesterone Receptor (ER/PR) Positive Breast Cancer|Encounter|0387|CMS140v3|
2.16.840.1.113883.3.464.1003.101.12.1048|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction)|CY 2014 EP|Oncology: Medical and Radiation – Pain Intensity Quantified|Encounter|0384|CMS157v3|
2.16.840.1.113883.3.464.1003.101.12.1048|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction)|CY 2014 EP|Diabetic Retinopathy: Documentation of Presence or Absence of Macular Edema and Level of Severity of Retinopathy|Encounter|0088|CMS167v3|
2.16.840.1.113883.3.464.1003.101.12.1048|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction)|CY 2014 EP|Functional Status Assessment for Complex Chronic Conditions|Encounter|Not Applicable|CMS90v4|
2.16.840.1.113883.3.464.1003.101.12.1048|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction)|CY 2014 EP|Breast Cancer Screening|Encounter|Not Applicable|CMS125v3|
2.16.840.1.113883.3.464.1003.101.12.1048|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction)|CY 2014 EP|Cervical Cancer Screening|Encounter|0032|CMS124v3|
2.16.840.1.113883.3.464.1003.101.12.1048|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction)|CY 2014 EP|Primary Open-Angle Glaucoma (POAG): Optic Nerve Evaluation|Encounter|0086|CMS143v3|
2.16.840.1.113883.3.464.1003.101.12.1053|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1220:Telephone Management)|CY 2014 EP|ADHD: Follow-Up Care for Children Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication|Encounter|0108|CMS136v4|
2.16.840.1.113883.3.464.1003.101.12.1054|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1221:Behavioral Health Follow-up Visit)|CY 2014 EP|ADHD: Follow-Up Care for Children Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication|Encounter|0108|CMS136v4|
2.16.840.1.113883.3.464.1003.101.12.1055|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1222:Psychotherapy and Pharmacologic Management)|CY 2014 EP|ADHD: Follow-Up Care for Children Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication|Encounter|0108|CMS136v4|
2.16.840.1.113883.3.464.1003.101.12.1056|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1080:Home Healthcare Services),(2.16.840.1.113883.3.464.1003.101.11.1125:Preventive Care Services - Established Office Visit, 18 and Up),(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction),(2.16.840.1.113883.3.464.1003.101.11.1040:Outpatient Consultation),(2.16.840.1.113883.3.464.1003.101.11.1070:Care Services in Long-Term Residential Facility),(2.16.840.1.113883.3.464.1003.101.11.1115:Preventive Care Services-Initial Office Visit, 18 and Up),(2.16.840.1.113883.3.464.1003.101.11.1060:Nursing Facility Visit),(2.16.840.1.113883.3.464.1003.101.11.1005:Office Visit)|CY 2014 EP|Hypertension: Improvement in Blood Pressure|Encounter|Not Applicable|CMS65v4|
2.16.840.1.113883.3.464.1003.101.12.1059|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1228:Detoxification Visit)|CY 2014 EP|Initiation and Engagement of Alcohol and Other Drug Dependence Treatment|Encounter|0004|CMS137v3|
2.16.840.1.113883.3.464.1003.101.12.1060|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1224:Inpatient Encounter)|CY 2014 EP|ADHD: Follow-Up Care for Children Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication|Encounter|0108|CMS136v4|
2.16.840.1.113883.3.464.1003.101.12.1061|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1110:Preventive Care - Initial Office Visit, 0 to 17),(2.16.840.1.113883.3.464.1003.101.11.1010:Hospital Observation Care - Initial),(2.16.840.1.113883.3.464.1003.101.11.1125:Preventive Care Services - Established Office Visit, 18 and Up),(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction),(2.16.840.1.113883.3.464.1003.101.11.1120:Preventive Care - Established Office Visit, 0 to 17),(2.16.840.1.113883.3.464.1003.101.11.1050:Emergency Department Visit),(2.16.840.1.113883.3.464.1003.101.11.1115:Preventive Care Services-Initial Office Visit, 18 and Up),(2.16.840.1.113883.3.464.1003.101.11.1005:Office Visit)|CY 2014 EP|Appropriate Testing for Children with Pharyngitis|Encounter|0002|CMS146v3|
2.16.840.1.113883.3.464.1003.102.12.1002|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.102.11.1006:Cystic Fibrosis),(2.16.840.1.113883.3.464.1003.102.11.1004:Cystic Fibrosis),(2.16.840.1.113883.3.464.1003.102.11.1005:Cystic Fibrosis)|CY 2014 EP|Use of Appropriate Medications for Asthma|Condition/Diagnosis/Problem|0036|CMS126v3|
2.16.840.1.113883.3.464.1003.102.12.1004|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.102.11.1012:Emphysema),(2.16.840.1.113883.3.464.1003.102.11.1011:Emphysema),(2.16.840.1.113883.3.464.1003.102.11.1010:Emphysema)|CY 2014 EP|Use of Appropriate Medications for Asthma|Condition/Diagnosis/Problem|0036|CMS126v3|
2.16.840.1.113883.3.464.1003.102.12.1007|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.102.11.1020:Chronic Obstructive Pulmonary Disease),(2.16.840.1.113883.3.464.1003.102.11.1021:Chronic Obstructive Pulmonary Disease),(2.16.840.1.113883.3.464.1003.102.11.1019:Chronic Obstructive Pulmonary Disease)|CY 2014 EP|Use of Appropriate Medications for Asthma|Condition/Diagnosis/Problem|0036|CMS126v3|
2.16.840.1.113883.3.464.1003.102.12.1011|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.102.11.1032:Acute Pharyngitis),(2.16.840.1.113883.3.464.1003.102.11.1031:Acute Pharyngitis),(2.16.840.1.113883.3.464.1003.102.11.1033:Acute Pharyngitis)|CY 2014 EP|Appropriate Testing for Children with Pharyngitis|Condition/Diagnosis/Problem|0002|CMS146v3|
